epoch,accuracy,loss,val_accuracy,val_loss
0,0.3625795841217041,1.3343011140823364,0.3717579245567322,1.294496774673462
1,0.6365900635719299,1.0142512321472168,0.6541786789894104,0.9331384301185608
2,0.792969822883606,0.6025877594947815,0.6945244669914246,0.7746143937110901
3,0.845004141330719,0.4256858825683594,0.7060518860816956,0.7929898500442505
4,0.8787711262702942,0.33427345752716064,0.6916426420211792,0.8130550980567932
5,0.9089399576187134,0.27282845973968506,0.6829971075057983,0.8744601607322693
6,0.922778844833374,0.2252812534570694,0.6772334575653076,0.9551987648010254
7,0.9429836869239807,0.19122736155986786,0.6858789920806885,1.0220727920532227
8,0.9443675875663757,0.17088139057159424,0.6599423885345459,1.056563377380371
9,0.9562690258026123,0.14737243950366974,0.6657060384750366,1.0941154956817627
10,0.9631884694099426,0.12599033117294312,0.6887608170509338,1.2050074338912964
11,0.9645723700523376,0.11767558753490448,0.6829971075057983,1.2115644216537476
12,0.9681705236434937,0.10890864580869675,0.6829971075057983,1.253868818283081
13,0.9698311686515808,0.10041013360023499,0.6685879230499268,1.2863067388534546
14,0.971491813659668,0.0933196023106575,0.6714697480201721,1.3262139558792114
15,0.973429262638092,0.08781226724386215,0.6714697480201721,1.3900582790374756
16,0.9748131632804871,0.08476678282022476,0.6570605039596558,1.3947771787643433
17,0.975089967250824,0.07885796576738358,0.6887608170509338,1.3962476253509521
18,0.9753667116165161,0.07527955621480942,0.6772334575653076,1.4271478652954102
19,0.9753667116165161,0.0758407786488533,0.6657060384750366,1.4571048021316528
20,0.9761970639228821,0.07862875610589981,0.680115282535553,1.5128635168075562
21,0.9778577089309692,0.06889163702726364,0.6685879230499268,1.5921423435211182
22,0.9778577089309692,0.06722985208034515,0.680115282535553,1.4935612678527832
23,0.9773041605949402,0.06397441029548645,0.6743515729904175,1.523982048034668
24,0.9781345129013062,0.0663159191608429,0.6829971075057983,1.5159456729888916
